guid;stock;title;summary;published;p_date;sentiment_summary;sentiment_title
e0cfc610-af18-38ab-aeb3-443728e7a31b;M;Macy’s Celebrates Summer’s Greatest Hits: Macy’s 4th of July Fireworks® Show to Feature Iconic Illuminating Displays and Musical Icons;NEW YORK, June 24, 2024--Macy’s Summer’s Greatest Hits presents the most iconic summer celebration of the year – Macy’s 4th of July Fireworks. Set to dazzle millions of spectators across the country with America’s largest Independence Day display, on Thursday, July 4th at approximately 9:25 p.m., Macy’s will deliver a spectacular summer experience filled with light and sound. Conceived, designed and produced by Macy’s Studios in collaboration with Pyro Spectaculars by Souza, the show’s 48th edit;Mon, 24 Jun 2024 20:00:00 +0000;M_2024-06-24;0.6369;0.836
a2787eac-614b-3712-9851-4856265363e7;M;Yahoo Video: Why Tractor Supply's rural footprint is an asset: Investor;Yahoo Video: Why Tractor Supply's rural footprint is an asset: Investor;Fri, 21 Jun 2024 20:45:00 +0000;M_2024-06-21;0.3612;0.3612
5068a6d6-9d22-3f2e-b3f7-4ba6a19d686d;M;Why Tractor Supply's rural footprint is an asset: Investor;"There are a lot of retailers competing for customers' dollars. Investors are looking for those that are winning that battle. In the latest Good Buy or Goodbye, Washington Crossing Advisors Senior Portfolio Manager Chad Morganlander says Tractor Supply (TSCO) is worth adding to your portfolio, but Macy's (M) is a skip. Morganlander gives three reasons why Tractor Supply is a buy: its rising dividend, the high return on capital for its business model, and its unique positioning as a retailer that caters to farmers and more rural shoppers. Morganlander is less of a fan of Macy's. He doesn't like the retailer's debt situation, describing it as an ""anchor"" for the company. Morganlander also points to Macy's revenue saying the company is ""trying to rationalize their footprint and it's like a battleship trying to make a U-turn in a closet,"" adding that Macy's is struggling to find relevance in a crowded retail space. He also points to an overall slowdown in consumer spending that Macy's may be more vulnerable to than other retailers.  For more expert insight and the latest market action, click here to watch this full episode of Market Domination. This post was written by Stephanie Mikulich.";Fri, 21 Jun 2024 20:30:46 +0000;M_2024-06-21;-0.8803;0.3612
da670e2b-8f7c-3e00-9f03-2f7b6b46afdf;M;Macy’s kicks off summer with first campaign under new CMO;Developed with agency Mono, the effort is the retailer’s first big campaign since Sharon Otterman joined as chief marketer six months ago.;Fri, 21 Jun 2024 08:53:22 +0000;M_2024-06-21;0.0;0.0
2197195c-031d-39a9-82b2-b180250a9b85;M;Why Is Macy's (M) Down 9.4% Since Last Earnings Report?;Macy's (M) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.;Thu, 20 Jun 2024 15:30:06 +0000;M_2024-06-20;0.0;0.0
f9492cec-d541-3274-9e57-737563be3d9d;M;Macy's (M) Rides on First 50 initiative, Omnichannel Presence;Macy's (M) revitalizes operations and enhances engagement. First 50 Pilot and A Bold New Chapter initiatives fuel efficiency and profitability, ensuring retail dominance and shareholder value.;Thu, 20 Jun 2024 15:14:00 +0000;M_2024-06-20;0.926;0.0
d4876af2-614f-38e4-bf51-aac644dbbdb5;M;Macy’s Launches Summer’s Greatest Hits Campaign With Song Performed by R&B Artist Amber Mark;The campaign launched across TV, digital media, social, out-of-home and on Macy's brand channels Thursday.;Thu, 20 Jun 2024 15:06:41 +0000;M_2024-06-20;0.128;0.6369
38b376a8-6208-3d73-a4d7-4f67129b7a0c;M;"Macy’s Launches Summer’s Greatest Hits Campaign with a Fresh Recording of ""Lovely Day"" by GRAMMY® Nominated Artist Amber Mark and Produced by GRAMMY® Award Winning Ryan Tedder";NEW YORK, June 20, 2024--Macy’s launches a new campaign, Summer’s Greatest Hits, to celebrate the beginning of summer. The beginning of every season comes with so much promise and excitement. These are the precious moments in our lives that are spent with loved ones creating unforgettable experiences and lasting memories. But it’s not about perfection or overplanning but about finding joy in every moment. Macy’s has captured that very essence in Summer’s Greatest Hits – the celebration will exte;Thu, 20 Jun 2024 13:52:00 +0000;M_2024-06-20;0.965;0.9531
c0aaa5e1-6c47-3548-ae88-c7069f7b1db1;M;Shrinkflation, shoplifting, and self-checkout;"Target (TGT), Macy's (M), Best Buy (BBY), were hit hard by 'rampant shoplifting' and shrinkflation, according to investor and market commentator, Jeff Macke. He joined Yahoo Finance Executive Editor Brian Sozzi on Opening Bid to discuss the difficulties and errors retailer made over recent years; specifically, self-checkout. 'Self-check was just one of the great debacle in retail history. The idea that, that people can just be trusted to check themselves out of stores. Geez,' he added. For full episodes of Opening Bid, watch on our website or listen on your favorite podcast platform.";Tue, 18 Jun 2024 11:30:06 +0000;M_2024-06-18;0.886;0.0
439ce109-8b6e-3447-8bad-24e3606cb05c;M;What a Biden-Trump rematch means for the largest retail stocks;If there has been any constant down the aisles of supermarkets and on the racks at clothing stores, it’s inflation. While inflation has started to cool down, the reality is that prices continue to be high — and that remains a key issue for consumers. Some retailers have fared well against this backdrop, namely Walmart (WMT). Others like Macy’s (M) and Best Buy (BBY) have struggled as households cut back on non-essential items. The issue of inflation will take center stage with voters in the November presidential election and could weigh on retailers until the race for the White House is over. So what’s the best retail investment strategy during this political news storm? Yahoo Finance Executive Editor Brian Sozzi discusses it all with investor, retail expert, author and partner at Wall Street Beats, Jeff Macke.;Mon, 17 Jun 2024 12:30:00 +0000;M_2024-06-17;0.9014;0.0
47f04a20-701c-3245-8bcb-c556dc56cb7d;M;Best Value Stocks to Buy for June 14th;M, HHS and FFBC made it to the Zacks Rank #1 (Strong Buy) value stocks list on June 14, 2024.;Fri, 14 Jun 2024 12:08:00 +0000;M_2024-06-14;0.34;0.765
8e44119e-8f5e-3bbd-b4a0-0b8c9981cc1f;M;The Pandemic Felled Dozens of Stellar Credit Ratings. CFOs Want Them Back.;Delta, Macy’s and others are among the ‘fallen angels’ that lost their investment-grade halo in 2020. Finance chiefs have been slashing debt and fortifying balance sheets to recoup that ranking.;Fri, 14 Jun 2024 10:00:00 +0000;M_2024-06-14;-0.7096;0.4404
f37d196e-be01-362a-b202-31b10d526cd3;M;BLOOMINGDALE'S LAUNCHES LATEST CAROUSEL GAME ON POWERED BY AIR FRANCE;Bloomingdale's, in partnership with Air France, announces The Carousel @ Bloomingdale's: Game On. Curated by Venus Williams, the shop is available both in-store and online, to get customers excited for the most anticipated event of the summer. Game On will feature an array of must-have items across categories, including an exclusive collaboration between the American Tennis Champion, fashion icon, and entrepreneur, Venus Williams and Bloomingdale's private label, AQUA.;Thu, 13 Jun 2024 14:00:00 +0000;M_2024-06-13;0.7783;0.0
9c72840d-5ba8-3ebc-879f-c4e549b63a1d;M;Is Macy's (M) Stock Undervalued Right Now?;Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.;Wed, 12 Jun 2024 13:40:16 +0000;M_2024-06-12;0.9081;0.0
6150464d-2bcd-39ee-a509-36395dc96d36;M;Q1 Earnings Highs And Lows: Kohl's (NYSE:KSS) Vs The Rest Of The Department Store Stocks;As the Q1 earnings season comes to a close, it’s time to take stock of this quarter's best and worst performers in the department store industry, including Kohl's (NYSE:KSS) and its peers.;Tue, 11 Jun 2024 06:46:01 +0000;M_2024-06-11;0.0258;-0.2023
5c89d4f8-cde6-3a64-acde-10a5e6ce3ab4;M;Macy's (M) Upgraded to Strong Buy: Here's What You Should Know;Macy's (M) might move higher on growing optimism about its earnings prospects, which is reflected by its upgrade to a Zacks Rank #1 (Strong Buy).;Mon, 10 Jun 2024 16:00:10 +0000;M_2024-06-10;0.7506;0.5106
7e7c7cb5-cda3-3b8c-a9a7-1b8b69d7eee9;F;A Little Good News for Rivian Investors;Rivian's R1S was one of the biggest gainers in registrations year over year -- here's how the top 10 looks.;Fri, 28 Jun 2024 10:00:00 +0000;F_2024-06-28;0.2023;0.3832
9e0beffa-49d5-3917-91ab-632f5a2e55ab;F;Tesla Falls Short in Quality to GM and Ford, Survey Shows;Ram was the top brand in 2024 initial quality rankings. Chevy was two and Ford was nine. Tesla was near the bottom again.;Thu, 27 Jun 2024 20:23:00 +0000;F_2024-06-27;0.2023;0.0
4e793c1e-589a-47c4-88c2-0f0993e63e34;F;CDK Global works to restore dealer software after hack, but the auto sales fallout still looms;The CDK Global cyberattack outage that crippled dealerships across North America appears to be finally on a path toward resolution, but lost sales and service revenue could be substantial.;Thu, 27 Jun 2024 17:05:20 +0000;F_2024-06-27;-0.1901;-0.0772
2307d910-49ea-30d7-a9d9-a1c81cb1c219;F;Tesla’s Design Changes Confuse Drivers and Undercut EV Quality;(Bloomberg) -- Tesla Inc. no longer stands above other electric vehicles in quality because head-scratching design changes on its cars, such as removing turn-signal stalks, have frustrated its owners and lowered its score in a bellwether quality survey.Most Read from BloombergBiden Struggles as He Spars With Trump on Economy: Debate TakeawaysBiden’s Disastrous Debate Accelerates Doubts Over CandidacySupreme Court Poised to Allow Emergency Abortions in IdahoBiden Struggles Against Trump in High-S;Thu, 27 Jun 2024 16:00:00 +0000;F_2024-06-27;-0.9423;-0.2263
e1d6c2dd-d0a5-37fa-9831-c0da82a87182;F;Rivian Partners With Volkswagen. Why Ford Isn’t Feeling Seller’s Remorse.;Volkswagen’s partnership with Rivian might surprise some investors. Ford was the traditional car marker that had a prior relationship with the EV start-up.;Wed, 26 Jun 2024 12:17:00 +0000;F_2024-06-26;0.2732;-0.1531
6811e56c-8aae-328d-9177-2e48e6557395;F;Rivian Automotive (RIVN) Soars 8.6%: Is Further Upside Left in the Stock?;Rivian Automotive (RIVN) saw its shares surge in the last session with trading volume being higher than average. The latest trend in earnings estimate revisions may not translate into further price increase in the near term.;Wed, 26 Jun 2024 10:30:00 +0000;F_2024-06-26;0.5423;0.0
a5667475-8ac6-313f-9db8-e4ee1989bdce;F;VW Latches Onto Rivian in $5 Billion EV Pact to Regain Momentum;(Bloomberg) -- Volkswagen AG is taking another swing in its long struggle to catch up with Tesla Inc., plowing $5 billion into a tie-up with the US company’s closest would-be rival, Rivian Automotive Inc.Most Read from BloombergYouTuber Dr Disrespect Was Allegedly Kicked Off Twitch for Messaging MinorVolkswagen Invests $5 Billion in EV Startup Rivian to Form Joint VentureTrump Could Actually Lose Florida. Here’s Why.Nvidia Rout Takes Breather as Traders Scour Charts for SupportJulian Assange Lea;Wed, 26 Jun 2024 07:45:34 +0000;F_2024-06-26;-0.7783;0.0
97861c58-e3b4-39eb-b2a7-037adfe9c4fc;F;Ford recalling 550,000 trucks that can suddenly downshift;Ford is recalling more than 550,000 F-150 pickups in the United States because of an issue that can cause the transmission to suddenly and unexpectedly, at any speed, shift down to first gear.;Wed, 26 Jun 2024 00:11:23 +0000;F_2024-06-26;0.4215;0.0
0b84d69d-a770-3c6a-a045-547608fc5982;F;Ford Motor Company (F) Stock Slides as Market Rises: Facts to Know Before You Trade;In the closing of the recent trading day, Ford Motor Company (F) stood at $12.09, denoting a -1.14% change from the preceding trading day.;Tue, 25 Jun 2024 21:45:18 +0000;F_2024-06-25;0.0;0.0
663f8ad5-e417-397a-8f9a-4f0724cf4c23;F;Tesla Recalls Thousands of Cybertrucks Over Trunk, Wiper Issues;Tesla  is recalling its Cybertruck.  The electric carmaker issued two recalls for more than 11,000 of its futuristic-looking trucks over issues with the trunk and the windshield wiper, according to filings with the National Highway Traffic Safety Administration.  Tesla had two recalls earlier this year.;Tue, 25 Jun 2024 17:05:00 +0000;F_2024-06-25;0.4215;0.0
674ffbd9-2e4e-3356-a3b6-f7299abdd5f1;F;Here is What to Know Beyond Why Ford Motor Company (F) is a Trending Stock;Zacks.com users have recently been watching Ford Motor (F) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.;Tue, 25 Jun 2024 13:00:14 +0000;F_2024-06-25;0.4767;0.0
c33aba7e-ccc2-35ba-bb9c-ffe15dffecc9;F;Ford recalls over 550,000 pickup trucks because transmissions can suddenly downshift to 1st gear;Ford is recalling more than 550,000 pickup trucks in the U.S. because the transmissions can unexpectedly downshift to first gear no matter how fast the trucks are going.  Ford's F-Series pickups are the top-selling vehicles in the U.S.  Ford says in documents posted Tuesday by U.S. safety regulators that the downshifting can cause drivers to lose control of the trucks, increasing the risk of a crash.;Tue, 25 Jun 2024 10:56:18 +0000;F_2024-06-25;-0.7003;0.0
